time,Voltage min,Shunt current
1.7935,,15.0
1.7976,,-1.0
1.8016,,-12.0
1.8057,,9.0
1.8097,,9.0
1.8138,,-4.0
1.8178,,1.0
1.8219,,0.0
1.8259,,4.0
1.83,,11.0
1.834,,3.0
1.8381,,4.0
1.8421,,5.0
1.8462,,6.0
1.8502,,-2.0
1.8543,,-3.0
1.8583,,6.0
1.8624,,1.0
1.8664,,-4.0
1.8705,,4.0
1.8745,,-11.0
1.8786,,-6.0
1.8826,,1.0
1.8867,,9.0
1.8907,,-1.0
1.8948,,2.0
1.8988,,4.0
1.9029,,7.0
1.9069,,13.0
1.911,,4.0
1.915,,-6.0
1.9191,,-6.0
1.9231,,-8.0
1.9271,,9.0
1.9312,,-7.0
1.9352,,8.0
1.9393,,-13.0
1.9433,,1.0
1.9474,,1.0
1.9514,,-7.0
1.9555,,-8.0
1.9595,,12.0
1.9636,,6.0
1.9676,,7.0
1.9717,,7.0
1.9757,,-1.0
1.9798,,4.0
1.9838,,3.0
1.9879,,6.0
1.9919,,0.0
1.996,,-4.0
2.0,,6.0
2.0028,3.79,
2.0041,,3.0
2.0081,,9.0
2.0122,,-2.0
2.0162,,-1.0
2.0203,,1.0
2.0243,,0.0
2.0284,,9.0
2.0324,,-3.0
2.0365,,1.0
2.0405,,0.0
2.0446,,-1.0
2.0486,,-1.0
2.0527,,4.0
2.0567,,4.0
2.0608,,0.0
2.0648,,-1.0
2.0688,,5.0
2.0729,,1.0
2.0769,,4.0
2.081,,-3.0
2.085,,1.0
2.0891,,-3.0
2.0931,,-1.0
2.0972,,9.0
2.1012,,13.0
2.1053,,-4.0
2.1093,,-5.0
2.1134,,-1.0
2.1174,,0.0
2.1215,,4.0
2.1255,,-3.0
2.1296,,-1.0
2.1336,,7.0
2.1377,,14.0
2.1417,,1.0
2.1458,,1.0
2.1498,,-8.0
2.1539,,4.0
2.1579,,1.0
2.162,,-8.0
2.166,,7.0
2.1701,,-4.0
2.1741,,3.0
2.1782,,13.0
2.1822,,8.0
2.1863,,7.0
2.1903,,9.0
2.1944,,-10.0
2.1984,,11.0
2.2025,,1.0
2.2065,,18.0
2.2106,,3.0
2.2146,,1.0
2.2186,,-8.0
2.2227,,14.0
2.2267,,1.0
2.2308,,-6.0
2.2348,,7.0
2.2389,,2.0
2.2429,,0.0
2.247,,0.0
2.251,,4.0
2.2551,,8.0
2.2591,,-1.0
2.2632,,10.0
2.2672,,5.0
2.2713,,13.0
2.2753,,13.0
2.2794,,4.0
2.2834,,-1.0
2.2875,,-1.0
2.2915,,6.0
2.2956,,0.0
2.2996,,14.0
2.3037,,5.0
2.3077,,5.0
2.3118,,8.0
2.3158,,0.0
2.3199,,8.0
2.3239,,5.0
2.328,,6.0
2.332,,10.0
2.3361,,-2.0
2.3401,,-6.0
2.3442,,-3.0
2.3482,,6.0
2.3523,,4.0
2.3563,,3.0
2.3604,,8.0
2.3644,,2.0
2.3684,,0.0
2.3725,,13.0
2.3765,,-4.0
2.3806,,0.0
2.3846,,9.0
2.3887,,0.0
2.3927,,7.0
2.3968,,1.0
2.4008,,-4.0
2.4049,,13.0
2.4089,,6.0
2.413,,12.0
2.417,,-3.0
2.4211,,4.0
2.4251,,9.0
2.4292,,-4.0
2.4332,,8.0
2.4373,,3.0
2.4413,,12.0
2.4454,,4.0
2.4494,,-2.0
2.4535,,-3.0
2.4575,,4.0
2.4616,,5.0
2.4656,,3.0
2.4697,,12.0
2.4737,,6.0
2.4778,,4.0
2.4818,,6.0
2.4859,,-7.0
2.4899,,0.0
2.494,,6.0
2.498,,1.0
2.5021,,-2.0
2.5035,3.79,
2.5061,,3.0
2.5102,,-4.0
2.5142,,4.0
2.5182,,3.0
2.5223,,6.0
2.5263,,-4.0
2.5304,,-3.0
2.5344,,6.0
2.5385,,0.0
2.5425,,0.0
2.5466,,0.0
2.5506,,-2.0
2.5547,,-6.0
2.5587,,9.0
2.5628,,0.0
2.5668,,-1.0
2.5709,,0.0
2.5749,,16.0
2.579,,-4.0
2.583,,6.0
2.5871,,-2.0
2.5911,,3.0
2.5952,,-2.0
2.5992,,3.0
2.6033,,-3.0
2.6073,,-1.0
2.6114,,4.0
2.6154,,1.0
2.6195,,7.0
2.6235,,4.0
2.6276,,1.0
2.6316,,2.0
2.6357,,-4.0
2.6397,,8.0
2.6438,,5.0
2.6478,,1.0
2.6519,,6.0
2.6559,,-4.0
2.6599,,-3.0
2.664,,-6.0
2.668,,-3.0
2.6721,,-3.0
2.6761,,-2.0
2.6802,,8.0
2.6842,,-1.0
2.6883,,6.0
2.6923,,6.0
2.6964,,0.0
2.7004,,4.0
2.7045,,5.0
2.7085,,2.0
2.7126,,-1.0
2.7166,,-1.0
2.7207,,-3.0
2.7247,,11.0
2.7288,,4.0
2.7328,,1.0
2.7369,,8.0
2.7409,,0.0
2.745,,-4.0
2.749,,3.0
2.7531,,4.0
2.7571,,-6.0
2.7612,,-3.0
2.7652,,7.0
2.7693,,-3.0
2.7733,,8.0
2.7774,,-7.0
2.7814,,-1.0
2.7855,,4.0
2.7895,,-1.0
2.7936,,2.0
2.7976,,-1.0
2.8017,,10.0
2.8057,,-2.0
2.8097,,4.0
2.8138,,6.0
2.8178,,1.0
2.8219,,-4.0
2.8259,,0.0
2.83,,-2.0
2.834,,8.0
2.8381,,6.0
2.8421,,0.0
2.8462,,8.0
2.8502,,8.0
2.8543,,3.0
2.8583,,9.0
2.8624,,10.0
2.8664,,-1.0
2.8705,,14.0
2.8745,,-3.0
2.8786,,-2.0
2.8826,,-3.0
2.8867,,9.0
2.8907,,15.0
2.8948,,0.0
2.8988,,4.0
2.9029,,1.0
2.9069,,6.0
2.911,,3.0
2.915,,3.0
2.9191,,3.0
2.9231,,1.0
2.9272,,8.0
2.9312,,0.0
2.9353,,0.0
2.9393,,-1.0
2.9434,,-3.0
2.9474,,-6.0
2.9515,,5.0
2.9555,,6.0
2.9595,,-8.0
2.9636,,3.0
2.9676,,0.0
2.9717,,-2.0
2.9757,,-2.0
2.9798,,-3.0
2.9838,,-5.0
2.9879,,7.0
2.9919,,-4.0
2.996,,6.0
3.0,,0.0
3.0041,,2.0
3.0042,3.79,
3.0081,,-1.0
3.0122,,-2.0
3.0162,,-1.0
3.0203,,9.0
3.0243,,5.0
3.0284,,-3.0
3.0324,,-4.0
3.0365,,-1.0
3.0405,,3.0
3.0446,,4.0
3.0486,,-6.0
3.0527,,1.0
3.0567,,18.0
3.0608,,11.0
3.0648,,3.0
3.0689,,-9.0
3.0729,,7.0
3.077,,9.0
3.081,,1.0
3.0851,,1.0
3.0891,,2.0
3.0932,,-3.0
3.0972,,-7.0
3.1012,,3.0
3.1053,,0.0
3.1093,,-4.0
3.1134,,-3.0
3.1174,,0.0
3.1215,,6.0
3.1255,,14.0
3.1296,,-1.0
3.1336,,0.0
3.1377,,7.0
3.1417,,-1.0
3.1458,,1.0
3.1498,,-9.0
3.1539,,9.0
3.1579,,5.0
3.162,,9.0
3.166,,5.0
3.1701,,-10.0
3.1741,,3.0
3.1782,,1.0
3.1822,,14.0
3.1863,,6.0
3.1903,,8.0
3.1944,,9.0
3.1984,,-4.0
3.2025,,0.0
3.2065,,4.0
3.2106,,1.0
3.2146,,6.0
3.2187,,4.0
3.2227,,-2.0
3.2268,,5.0
3.2308,,-6.0
3.2349,,7.0
3.2389,,0.0
3.243,,10.0
3.247,,2.0
3.251,,-4.0
3.2551,,-10.0
3.2591,,-10.0
3.2632,,0.0
3.2672,,5.0
3.2713,,-7.0
3.2753,,-7.0
3.2794,,-8.0
3.2834,,7.0
3.2875,,8.0
3.2915,,0.0
3.2956,,11.0
3.2996,,2.0
3.3037,,6.0
3.3077,,6.0
3.3118,,1.0
3.3158,,-3.0
3.3199,,1.0
3.3239,,7.0
3.328,,-5.0
3.332,,-1.0
3.3361,,4.0
3.3401,,17.0
3.3442,,9.0
3.3482,,0.0
3.3523,,-4.0
3.3563,,-4.0
3.3604,,5.0
3.3644,,7.0
3.3685,,0.0
3.3725,,-3.0
3.3766,,2.0
3.3806,,-11.0
3.3847,,-2.0
3.3887,,-4.0
3.3928,,-1.0
3.3968,,-4.0
3.4008,,-8.0
3.4049,,6.0
